,id,cluster
0,0,26
1,1,7
2,2,7
3,3,7
4,4,7
5,5,26
6,6,40
7,7,7
8,8,7
9,9,7
10,10,26
11,11,26
12,12,26
13,13,7
14,14,7
15,15,7
16,16,7
17,17,7
18,18,7
19,19,26
20,20,26
21,21,28
22,22,7
23,23,7
24,24,7
25,25,7
26,26,26
27,27,7
28,28,26
29,29,26
30,30,7
31,31,26
32,32,7
33,33,7
34,34,26
35,35,7
36,36,18
37,37,7
38,38,26
39,39,7
40,40,7
41,41,7
42,42,26
43,43,26
44,44,26
45,45,26
46,46,26
47,47,18
48,48,26
49,49,26
50,50,7
51,51,7
52,52,7
53,53,26
54,54,7
55,55,7
56,56,7
57,57,7
58,58,7
59,59,7
60,60,26
61,61,26
62,62,7
63,63,7
64,64,7
65,65,7
66,66,26
67,67,7
68,68,7
69,69,7
70,70,26
71,71,26
72,72,7
73,73,26
74,74,7
75,75,7
76,76,7
77,77,7
78,78,7
79,79,7
80,80,7
81,81,7
82,82,7
83,83,7
84,84,26
85,85,26
86,86,26
87,87,7
88,88,7
89,89,26
90,90,7
91,91,26
92,92,26
93,93,26
94,94,26
95,95,26
96,96,26
97,97,0
98,98,26
99,99,7
100,100,26
101,101,26
102,102,7
103,103,26
104,104,7
105,105,7
106,106,7
107,107,7
108,108,7
109,109,7
110,110,7
111,111,7
112,112,7
113,113,26
114,114,18
115,115,26
116,116,26
117,117,7
118,118,26
119,119,7
120,120,26
121,121,26
122,122,26
123,123,7
124,124,7
125,125,26
126,126,7
127,127,26
128,128,7
129,129,7
130,130,26
131,131,26
132,132,18
133,133,7
134,134,7
135,135,18
136,136,7
137,137,26
138,138,26
139,139,7
140,140,26
141,141,7
142,142,7
143,143,7
144,144,7
145,145,7
146,146,26
147,147,7
148,148,7
149,149,7
150,150,26
151,151,26
152,152,7
153,153,7
154,154,7
155,155,7
156,156,18
157,157,7
158,158,7
159,159,26
160,160,26
161,161,26
162,162,7
163,163,7
164,164,26
165,165,7
166,166,7
167,167,7
168,168,26
169,169,7
170,170,7
171,171,26
172,172,7
173,173,26
174,174,7
175,175,7
176,176,7
177,177,28
178,178,7
179,179,7
180,180,7
181,181,26
182,182,7
183,183,18
184,184,26
185,185,7
186,186,7
187,187,26
188,188,7
189,189,7
190,190,7
191,191,26
192,192,7
193,193,26
194,194,26
195,195,7
196,196,26
197,197,26
198,198,7
199,199,26
200,200,26
201,201,26
202,202,7
203,203,12
204,204,26
205,205,7
206,206,7
207,207,7
208,208,7
209,209,26
210,210,26
211,211,36
212,212,26
213,213,26
214,214,7
215,215,26
216,216,26
217,217,28
218,218,7
219,219,26
220,220,7
221,221,7
222,222,7
223,223,7
224,224,7
225,225,26
226,226,26
227,227,18
228,228,18
229,229,26
230,230,18
231,231,26
232,232,26
233,233,26
234,234,26
235,235,26
236,236,18
237,237,26
238,238,26
239,239,18
240,240,18
241,241,26
242,242,26
243,243,18
244,244,26
245,245,26
246,246,18
247,247,18
248,248,26
249,249,26
250,250,26
251,251,18
252,252,18
253,253,26
254,254,7
255,255,18
256,256,18
257,257,18
258,258,18
259,259,18
260,260,18
261,261,18
262,262,26
263,263,18
264,264,18
265,265,18
266,266,18
267,267,18
268,268,26
269,269,18
270,270,18
271,271,26
272,272,18
273,273,18
274,274,18
275,275,26
276,276,26
277,277,18
278,278,26
279,279,18
280,280,18
281,281,26
282,282,26
283,283,26
284,284,18
285,285,26
286,286,0
287,287,26
288,288,18
289,289,18
290,290,26
291,291,18
292,292,26
293,293,18
294,294,18
295,295,18
296,296,18
297,297,0
298,298,26
299,299,18
300,300,36
301,301,26
302,302,26
303,303,18
304,304,18
305,305,26
306,306,26
307,307,18
308,308,26
309,309,7
310,310,26
311,311,18
312,312,18
313,313,18
314,314,18
315,315,18
316,316,26
317,317,18
318,318,26
319,319,26
320,320,26
321,321,7
322,322,26
323,323,40
324,324,26
325,325,18
326,326,18
327,327,26
328,328,26
329,329,26
330,330,26
331,331,26
332,332,26
333,333,18
334,334,40
335,335,18
336,336,18
337,337,26
338,338,18
339,339,26
340,340,18
341,341,26
342,342,26
343,343,18
344,344,18
345,345,26
346,346,18
347,347,26
348,348,18
349,349,18
350,350,26
351,351,18
352,352,26
353,353,26
354,354,18
355,355,18
356,356,26
357,357,26
358,358,18
359,359,26
360,360,18
361,361,28
362,362,18
363,363,18
364,364,28
365,365,18
366,366,26
367,367,18
368,368,26
369,369,18
370,370,18
371,371,26
372,372,18
373,373,12
374,374,26
375,375,26
376,376,26
377,377,18
378,378,26
379,379,18
380,380,26
381,381,26
382,382,41
383,383,18
384,384,26
385,385,26
386,386,18
387,387,18
388,388,18
389,389,18
390,390,26
391,391,26
392,392,18
393,393,18
394,394,26
395,395,18
396,396,18
397,397,18
398,398,26
399,399,18
400,400,26
401,401,26
402,402,18
403,403,18
404,404,18
405,405,26
406,406,7
407,407,26
408,408,18
409,409,26
410,410,7
411,411,26
412,412,18
413,413,26
414,414,18
415,415,18
416,416,18
417,417,26
418,418,18
419,419,26
420,420,26
421,421,18
422,422,26
423,423,18
424,424,18
425,425,26
426,426,7
427,427,26
428,428,26
429,429,18
430,430,26
431,431,18
432,432,18
433,433,18
434,434,26
435,435,18
436,436,26
437,437,0
438,438,40
439,439,18
440,440,26
441,441,18
442,442,18
443,443,26
444,444,18
445,445,18
446,446,18
447,447,26
448,448,18
449,449,26
450,450,18
451,451,18
452,452,18
453,453,18
454,454,18
455,455,18
456,456,40
457,457,40
458,458,40
459,459,18
460,460,40
461,461,40
462,462,40
463,463,26
464,464,40
465,465,40
466,466,26
467,467,40
468,468,40
469,469,26
470,470,26
471,471,40
472,472,40
473,473,26
474,474,26
475,475,26
476,476,40
477,477,40
478,478,40
479,479,26
480,480,40
481,481,26
482,482,26
483,483,40
484,484,26
485,485,40
486,486,40
487,487,26
488,488,26
489,489,40
490,490,26
491,491,26
492,492,12
493,493,26
494,494,40
495,495,40
496,496,40
497,497,40
498,498,26
499,499,40
500,500,26
501,501,40
502,502,40
503,503,40
504,504,40
505,505,40
506,506,26
507,507,26
508,508,26
509,509,40
510,510,26
511,511,26
512,512,40
513,513,26
514,514,26
515,515,40
516,516,40
517,517,40
518,518,26
